Clicks,Payout,Clicks_Diff,Payout_Diff
139310,269603.2,-793927.0,-868019.5
1481,760.2,-137829.0,-268843.0
7815,193467.81,-3781.0,193455.86
26564,2556.2599999999998,-7815.0,-25.470000000000255
11596,11.95,-14968.0,-2544.31
27969,4527.49,-64119.0,2043.7699999999995
60,0.69915252,-27909.0,-4526.79084748
42245,0.0,-220317.0,-728.1196
861,0.0,-704309.0,-1058352.84
10949,126251.06,-133674.0,122905.67
24146,727.66,-17950.0,-4605.85
141,1.139057288,-28183.0,-2046.280942712
2636,90108.9,-702528.0,-441008.64
27330,1104.71,-181901.0,-10063.5
274,1.383979823,-32099.0,-3598.346020177
64036,883.4729,-40836.0,883.4729
80613,134579.55,-608043.0,-376241.3
927,2066.7,-79686.0,-132512.84999999998
26268,804.49,-687.0,-103.08000000000004
289,1.984919559,-30416.0,-3511.785080441
64036,883.4729,-31481.0,-420199.6621
97421,196867.3,-12643.0,195302.68159999998
147155,155476.25999999998,-433044.0,-295799.63
1042,0.0,-146113.0,-155476.25999999998
31362,1611.56,-608.0,-725.0
27082,2826.98,-4280.0,1215.42
233,0.920804033,-27736.0,-4526.569195966999
41037,836.0315,-74228.0,-320622.8508531
43647,148329.53,-90573.0,147013.1864
1044,3972.8,-168157.0,-104096.42
30269,1692.13,-2843.0,-2862.21
24034,2213.23,-6235.0,521.0999999999999
234,1.0817001529999999,-255788.0,-610691.478299847
43826,835.1709000000001,-80161.0,-402330.58852499997
36732,120559.45,-99386.0,119511.753
89764,47512.74,-325790.0,-257836.82
2006,5613.54,-87758.0,-41899.2
1768,666.38,-238.0,-4947.16
1680,89.48,-12651.0,-633.3
34758,239446.845,-167786.0,36916.80499999999
18,1.252552538,-34740.0,-239445.592447462
29116,39591.71,-72564.0,-85928.95999999999
27291,15423.95,-1825.0,-24167.76
920,645.97,-26371.0,-14777.980000000001
535,157.15,-385.0,-488.82000000000005
1738,30.34,-8745.0,-544.31
2,0.53921571,-35985.0,-13930.92078429
598,72.25,-19168.0,-113492.5475
30736,64579.37,-5994.0,64451.211
4880,7727.389999999999,-25856.0,-56851.98
842,330.24,-21275.0,-10108.34
2071,14.43,-6638.0,-524.24
1,0.0,-35986.0,-13931.46
541,144.5,-15261.0,-67195.09375
18522,5426.41,-54909.0,-1310.4000000000005
919,26.48,-17603.0,-5399.93
1824,154.58,-5874.0,-330.15
0,0.0,-62458.0,-21369.35
547,142.45,-12964.0,-42858.34025
17616,33600.42,-18440.0,33397.6296
13554,68404.38,-4062.0,34803.96000000001
772,0.0,-14361.0,-12780.07
3229,76.34,-3263.0,-329.07000000000005
1,0.816831675,-37730.0,-8695.803168325001
349,0.0,-10360.0,-40573.65675
18887,40619.049999999996,-36137.0,40515.73099999999
27122,49152.39,-27156.0,-32474.059999999998
899,840.46,-26223.0,-48311.93
17315,3603.78,-105168.0,-58.929999999999836
1,0.816831675,-17314.0,-3602.9631683250004
3112,289.0,-8751.0,-73756.30925
21627,8284.369999999999,-84319.0,7929.286199999999
